,Id_card,Id_firm,Organization_name,Rubric,Project,Subject,district_ofsubject,city,index_of_city,post_index,street,house_num,houseId,Callphones,Email,Sites,SocialNetworks,how_to_pay,work_schedule,philial_amount,lat,lon
106,70000001029366385,4504137598354185,"Красное & белое, сеть магазинов",Алкогольные напитки|Магазины разливного пива|Продовольственные магазины,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117465,Генерала Тюленева улица,29а,4504235282589232,,,www.krasnoeibeloe.ru,krasnoebeloe|krasnoebeloe|krasnoebeloe|krasnoe.beloe|group/krasnoebeloe,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 22:05|Вторник: с 9:00 до 22:05|Среда: с 9:00 до 22:05|Четверг: с 9:00 до 22:05|Пятница: с 9:00 до 22:05|Суббота: с 9:00 до 22:05|Воскресенье: с 9:00 до 22:05,835,55.617272998893796,37.489495956732895
107,70000001036669765,4504137598354185,"Красное & белое, сеть магазинов",Алкогольные напитки|Продовольственные магазины,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117321,Профсоюзная улица,152 к2 ст2,4504235282569463,,,www.krasnoeibeloe.ru,krasnoebeloe|krasnoebeloe|krasnoebeloe|krasnoe.beloe|group/krasnoebeloe,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 22:05|Вторник: с 9:00 до 22:05|Среда: с 9:00 до 22:05|Четверг: с 9:00 до 22:05|Пятница: с 9:00 до 22:05|Суббота: с 9:00 до 22:05|Воскресенье: с 9:00 до 22:05,835,55.622873935802204,37.5064044961683
108,70000001027922570,4504137598354185,"Красное & белое, сеть магазинов",Алкогольные напитки|Продовольственные магазины,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117465,Генерала Тюленева улица,41а,4504235282603289,,,www.krasnoeibeloe.ru,krasnoebeloe|krasnoebeloe|krasnoebeloe|krasnoe.beloe|group/krasnoebeloe,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 22:05|Вторник: с 9:00 до 22:05|Среда: с 9:00 до 22:05|Четверг: с 9:00 до 22:05|Пятница: с 9:00 до 22:05|Суббота: с 9:00 до 22:05|Воскресенье: с 9:00 до 22:05,835,55.6138575168357,37.494008194405104
197,70000001041204533,70000001041204532,Пекарня,Быстрое питание|Хлебобулочные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117588,Новоясеневский проспект,1Б к1,4504235310822427,,,,,Наличный расчёт,Понедельник: с 8:00 до 20:00|Вторник: с 8:00 до 20:00|Среда: с 8:00 до 20:00|Четверг: с 8:00 до 20:00|Пятница: с 8:00 до 20:00|Суббота: с 8:00 до 20:00|Воскресенье: с 8:00 до 20:00,1,55.6178057830857,37.511737614347
198,70000001041162411,70000001041162410,Пекарня,Быстрое питание|Хлебобулочные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117588,Новоясеневский проспект,1Б к6,70030076162970480,,,,,Наличный расчёт,Понедельник: с 8:00 до 18:00|Вторник: с 8:00 до 18:00|Среда: с 8:00 до 18:00|Четверг: с 8:00 до 18:00|Пятница: с 8:00 до 18:00|Суббота: с 8:00 до 18:00|Воскресенье: с 8:00 до 18:00,1,55.6192353169526,37.511775523252
199,70000001041162307,70000001041162306,Пекарня,Быстрое питание|Хлебобулочные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117588,Новоясеневский проспект,1Б к5,70030076162970516,,,,,Наличный расчёт,Понедельник: с 8:00 до 20:00|Вторник: с 8:00 до 20:00|Среда: с 8:00 до 20:00|Четверг: с 8:00 до 20:00|Пятница: с 8:00 до 20:00|Суббота: с 8:00 до 20:00|Воскресенье: с 8:00 до 20:00,1,55.61830434659229,37.5122291724705
14,70000001037126378,70000001037126377,"La Mia, кафе-кондитерская",Кафе-кондитерские / Кофейни|Кондитерские изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117133,Академика Виноградова улица,9,4504235283106596,+7-963-788-50-80,,,lamia_cafe,Наличный расчёт,Понедельник: с 8:00 до 22:00|Вторник: с 8:00 до 22:00|Среда: с 8:00 до 22:00|Четверг: с 8:00 до 22:00|Пятница: с 8:00 до 22:00|Суббота: с 8:00 до 22:00|Воскресенье: с 8:00 до 22:00,1,55.6336139119089,37.485789957028295
20,4504127918644584,4504136499736032,"Wild Bean Cafe, сеть мини-кофеен",Кафе-кондитерские / Кофейни|Хлебобулочные изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117465,МКАД 41 км улица,вл18 ст1,4504235283046132,,,,,Наличный расчёт|Расчёт по картам,Понедельник: с 0:00 до 24:00|Вторник: с 0:00 до 24:00|Среда: с 0:00 до 24:00|Четверг: с 0:00 до 24:00|Пятница: с 0:00 до 24:00|Суббота: с 0:00 до 24:00|Воскресенье: с 0:00 до 24:00,42,55.6190593224012,37.4840740850041
195,70000001034971927,70000001034971926,Пегас Кофе,Кафе-кондитерские / Кофейни|Хлебобулочные изделия|Кондитерские изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117321,Профсоюзная улица,вход метро №9,4504235283047777,+7-926-180-69-11|+7-985-477-67-62,coyot2005@yandex.ru,,pegas_coffee|pegas_coffee,Наличный расчёт|Расчёт по картам,Понедельник: с 7:00 до 20:00|Вторник: с 7:00 до 20:00|Среда: с 7:00 до 20:00|Четверг: с 7:00 до 20:00|Пятница: с 7:00 до 20:00|Суббота: с 9:00 до 19:00|Воскресенье: с 9:00 до 19:00,1,55.6340391991636,37.5200142422173
170,70000001041160891,70000001041160890,Московский Кофейный Пункт,Кафе-кондитерские / Кофейни|Чай / Кофе|Кондитерские изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117513,Ленинский проспект,123,4504235282572582,+7-926-652-94-29,kl1movmv@yandex.ru,,moskovskiikofeinyi,Наличный расчёт|Расчёт по картам,Понедельник: с 8:00 до 20:00|Вторник: с 8:00 до 20:00|Среда: с 8:00 до 20:00|Четверг: с 8:00 до 20:00|Пятница: с 8:00 до 20:00|Суббота: с 10:00 до 22:00|Воскресенье: с 10:00 до 22:00,1,55.6467062529659,37.4794263813871
