"Город","Id города","StableId","X","Y","Индекс","Название","Назначение","Название слоя","Застройщики","Субъект федерации","Район области","Район","Площадь","Этажность","Количество подъездов","Количество квартир","коэф семейности 2.7","Округ","Улица1","Дом1","Улица2","Дом2","Улица3","Дом3"
"Москва","4504222397630173","4504235282557431","37.5443019027225","55.5901033174419","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","29771","16","6","360","972","Юго-Западный административный округ","Инессы Арманд улица","8/17","Карамзина проезд","17","",""
"Москва","4504222397630173","4504235282557433","37.5415726412263","55.5907514456781","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","29771","16","3","360","972","Юго-Западный административный округ","Карамзина проезд","13 к1","","","",""
"Москва","4504222397630173","4504235282557434","37.5388246947722","55.591415994889","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","29771","16","6","360","972","Юго-Западный административный округ","Карамзина проезд","9 к1","","","",""
"Москва","4504222397630173","4504235282557436","37.5359921270183","55.5920981851479","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","29766","16","6","360","972","Юго-Западный административный округ","Карамзина проезд","5","","","",""
"Москва","4504222397630173","4504235282557459","37.5437888748637","55.5916082404632","117463","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","36852","9","16","567","1531","Юго-Западный административный округ","Инессы Арманд улица","4 к1","","","",""
"Москва","4504222397630173","4504235282557482","37.5355206013256","55.5933959925261","117463","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","39122","9","17","602","1625","Юго-Западный административный округ","Карамзина проезд","1 к1","","","",""
"Москва","4504222397630173","4504235282557498","37.5459173430979","55.5942110171276","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","63914","16","12","761","2055","Юго-Западный административный округ","Голубинская улица","32/2","","","",""
"Москва","4504222397630173","4504235282557499","37.5379596171535","55.5959816607818","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","63915","16","12","753","2033","Юго-Западный административный округ","Голубинская улица","24 к1","","","",""
"Москва","4504222397630173","4504235282557518","37.5373521763584","55.5939087040938","117463","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","36068","9","16","565","1526","Юго-Западный административный округ","Карамзина проезд","1 к3","","","",""
"Москва","4504222397630173","4504235282557830","37.5475594634373","55.5901813070678","117463","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","27280","16","6","375","1013","Юго-Западный административный округ","Инессы Арманд улица","11","","","",""
"Москва","4504222397630173","4504235282557836","37.547942594906","55.5915934367228","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","27281","16","6","373","1007","Юго-Западный административный округ","Инессы Арманд улица","7","","","",""
"Москва","4504222397630173","4504235282557838","37.5483294094673","55.5930203185532","117463","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","27284","16","6","375","1013","Юго-Западный административный округ","Инессы Арманд улица","3","","","",""
"Москва","4504222397630173","4504235282557850","37.5397745733536","55.5965880835888","117463","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","29761","16","6","383","1034","Юго-Западный административный округ","Голубинская улица","29 к1","","","",""
"Москва","4504222397630173","4504235282557851","37.5410987799139","55.5973773550715","117463","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","29768","16","6","383","1034","Юго-Западный административный округ","Голубинская улица","29 к2","","","",""
"Москва","4504222397630173","4504235282557853","37.5424610750423","55.5980783116259","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","29764","16","6","383","1034","Юго-Западный административный округ","Голубинская улица","29 к3","","","",""
"Москва","4504222397630173","4504235282558133","37.5407903882769","55.5997836775999","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","20471","22","1","252","680","Юго-Западный административный округ","Паустовского улица","5 к1","","","",""
"Москва","4504222397630173","4504235282558244","37.5452800782354","55.6028032983834","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","61986","16","12","761","2055","Юго-Западный административный округ","Новоясеневский проспект","38 к1","","","",""
"Москва","4504222397630173","4504235282558255","37.5462534926772","55.6012551183491","117463","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","33720","9","15","534","1442","Юго-Западный административный округ","Новоясеневский проспект","40 к3","","","",""
"Москва","4504222397630173","4504235282558353","37.5396680331609","55.6040121086248","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","61982","16","12","737","1990","Юго-Западный административный округ","Новоясеневский проспект","32 к1","","","",""
"Москва","4504222397630173","4504235282558372","37.5366709838785","55.6023680076851","117463","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","33708","9","15","533","1439","Юго-Западный административный округ","Новоясеневский проспект","32 к3","","","",""
"Москва","4504222397630173","4504235282558543","37.5364117300875","55.5999455179425","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","61973","16","12","747","2017","Юго-Западный административный округ","Паустовского улица","8 к3","","","",""
"Москва","4504222397630173","4504235282558565","37.5336067406128","55.5990768007646","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","24421","9","11","391","1056","Юго-Западный административный округ","Голубинская улица","25 к2","","","",""
"Москва","4504222397630173","4504235282558603","37.5342548750903","55.5975154009168","117463","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","38907","9","17","599","1617","Юго-Западный административный округ","Голубинская улица","25 к1","","","",""
"Москва","4504222397630173","4504235282558682","37.531277229418","55.5992272509423","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","20468","22","2","252","680","Юго-Западный административный округ","Ясногорская улица","21 к1","","","",""
"Москва","4504222397630173","4504235282558685","37.5317810944609","55.5999745596174","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","20469","22","2","252","680","Юго-Западный административный округ","Ясногорская улица","21 к2","","","",""
"Москва","4504222397630173","4504235282558688","37.5326244328496","55.6012282645815","117463","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","20470","22","1","252","680","Юго-Западный административный округ","Ясногорская улица","17 к2","","","",""
